MonsterName,MonsterImage,MonsterAI,MonsterEffect,MonsterLevel,MonsterLight,MonsterAttackSpeed,MonsterMoveSpeed,MonsterViewRange,MonsterCoolEye,MonsterExperience,MonsterCanPush,MonsterAutoRev,MonsterUndead,MonsterCanTame,MonsterDropPath,StatMinAC,StatMaxAC,StatMinMAC,StatMaxMAC,StatMinDC,StatMaxDC,StatMinMC,StatMaxMC,StatMinSC,StatMaxSC,StatAccuracy,StatAgility,StatHP,StatMP,StatAttackSpeed,StatLuck,StatBagWeight,StatHandWeight,StatWearWeight,StatReflect,StatStrong,StatHoly,StatFreezing,StatPoisonAttack,StatMagicResist,StatPoisonResist,StatHealthRecovery,StatSpellRecovery,StatPoisonRecovery,StatCriticalRate,StatCriticalDamage,StatMaxACRatePercent,StatMaxMACRatePercent,StatMaxDCRatePercent,StatMaxMCRatePercent,StatMaxSCRatePercent,StatAttackSpeedRatePercent,StatHPRatePercent,StatMPRatePercent,StatHPDrainRatePercent,StatExpRatePercent,StatItemDropRatePercent,StatGoldDropRatePercent,StatMineRatePercent,StatGemRatePercent,StatFishRatePercent,StatCraftRatePercent,StatSkillGainMultiplier,StatAttackBonus,StatLoverExpRatePercent,StatMentorDamageRatePercent,StatMentorExpRatePercent,StatDamageReductionPercent,StatEnergyShieldPercent,StatEnergyShieldHPGain,StatManaPenaltyPercent,StatTeleportManaPenaltyPercent,StatHero,
神兽1,Shinsu1,18,0,32,0,1500,1500,7,0,0,True,True,False,False,,8,8,5,5,7,25,0,0,0,0,25,17,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
月灵,HolyDeva,38,0,30,0,2000,800,7,0,15,True,True,False,False,,0,35,0,38,35,50,1,0,0,0,15,15,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Clone,Guard,55,0,30,0,2000,800,7,0,0,True,True,False,False,,8,8,5,5,25,40,10,30,0,0,15,15,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AssassinClone,Guard,59,0,30,0,100,100,7,0,0,False,True,False,False,,8,8,5,5,25,40,25,40,0,0,50,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
自爆蜘蛛,VampireSpider,60,0,10,0,2500,1800,7,0,0,False,True,False,False,,1,3,0,0,4,8,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
火蟾,SpittingToad,61,0,10,0,2500,1800,7,0,0,False,True,False,False,,1,3,0,0,4,8,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蛇柱,SnakeTotem,62,0,10,0,2500,1800,7,0,0,False,True,False,False,,1,3,0,0,4,8,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CharmedSnake,IcePhantom,63,0,10,0,2500,1800,7,0,0,False,True,False,False,,1,3,0,0,4,8,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BabyPig,BabyPig,64,0,15,2,1200,900,7,0,0,True,True,False,False,,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chick,Chick,64,1,15,2,1200,900,7,0,0,True,True,False,False,,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kitten,Kitten,64,2,15,0,1200,900,7,0,0,True,True,False,False,,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BabySkeleton,BabySkeleton,64,3,15,0,1200,900,7,0,0,True,True,False,False,,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Baekdon,Baekdon,64,4,15,0,1200,900,7,0,0,True,True,False,False,,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wimaen,Wimaen,64,5,15,0,1200,900,7,0,0,True,True,False,False,,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BlackKitten,BlackKitten,64,6,15,0,1200,900,7,0,0,True,True,False,False,,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BabyDragon,BabyDragon,64,7,15,0,1200,900,7,0,0,True,True,False,False,,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
OlympicFlame,OlympicFlame,64,8,15,0,1200,900,7,0,0,True,True,False,False,,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BabySnowMan,BabySnowMan,64,9,15,0,1200,900,7,0,0,True,True,False,False,,10,15,10,15,0,0,0,0,0,0,0,15,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
鸡,Hen,1,0,5,0,3000,1400,7,0,9,True,True,False,True,,0,0,0,0,1,1,0,0,0,0,3,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
鹿,Deer,2,0,12,0,3000,1400,7,0,18,True,True,False,True,,0,0,0,0,2,4,0,0,0,0,4,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
鹿1,Deer,2,0,50,0,1500,600,7,0,1000,False,True,False,False,,35,35,35,35,0,100,0,0,0,0,20,17,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
猪,Pig,1,0,13,0,3000,1400,7,0,16,True,True,False,True,,0,0,0,0,1,3,0,0,0,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
牛,Bull,1,0,13,0,3000,1400,7,0,24,True,True,False,True,,0,0,0,0,1,3,0,0,0,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
羊,Sheep,2,0,13,0,3000,1400,7,0,27,True,True,False,True,,0,0,0,0,1,3,0,0,0,0,7,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
狼,Wolf,9,0,16,0,2500,1200,7,0,48,True,True,False,True,,0,0,0,0,6,8,0,0,0,0,10,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
恶狼,Wolf,9,0,16,0,2500,1200,7,0,150,True,True,False,True,,0,0,0,0,8,10,0,0,0,0,12,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蛤蟆,Yob,0,0,12,0,2500,2500,7,0,20,True,True,False,True,,0,0,0,0,0,5,0,0,0,0,6,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
蛤蟆0,Yob,0,0,12,0,2500,2500,7,0,20,True,True,False,True,,0,0,0,0,1,5,0,0,0,0,7,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
稻草人,Scarecrow,0,0,10,0,2500,1500,7,0,15,True,True,False,True,,0,0,0,0,1,2,0,0,0,0,5,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
稻草人0,Scarecrow,0,0,10,0,2500,1500,7,0,15,True,True,False,True,,0,0,0,0,1,3,0,0,0,0,7,8,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
稻草人1,Scarecrow,0,0,50,0,1500,600,7,0,115,False,True,False,False,,30,30,30,30,0,90,0,0,0,0,20,17,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
多钩猫,HookingCat,0,0,13,0,2500,1500,7,0,23,True,True,False,True,,0,0,0,0,2,4,0,0,0,0,5,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
多钩猫0,HookingCat,0,0,13,0,2500,1500,7,0,23,True,True,False,True,,0,0,0,0,2,5,0,0,0,0,6,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
钉耙猫,RakingCat,0,0,13,0,2500,1800,7,0,27,True,True,False,True,,0,0,0,0,2,4,0,0,0,0,5,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
钉耙猫0,RakingCat,0,0,13,0,2500,1800,7,0,27,True,True,False,True,,0,0,0,0,4,4,0,0,0,0,5,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
毒蜘蛛,SpittingSpider,4,0,16,0,2500,900,7,0,108,True,True,False,True,,2,2,1,1,6,9,0,0,2,4,8,15,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
食人花,CannibalPlant,5,0,20,0,2500,1800,7,0,36,False,True,False,False,,2,2,0,0,6,9,0,0,0,0,12,14,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
半兽人,Oma,0,0,15,0,2500,1500,7,0,34,True,True,False,True,,1,1,0,0,4,9,0,0,0,0,6,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
半兽人0,Oma,0,0,15,0,2500,1500,7,0,34,True,True,False,True,,1,1,0,0,4,9,0,0,0,0,8,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
半兽战士,OmaFighter,0,0,22,0,2000,1500,7,0,130,True,True,False,True,,3,3,1,1,5,12,0,0,0,0,10,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
半兽战士0,OmaFighter,0,0,22,0,2000,1500,7,0,130,True,True,False,True,,3,3,1,1,7,12,0,0,0,0,10,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
半兽勇士,OmaWarrior,0,0,28,10,1500,1500,7,0,740,True,True,False,True,,0,0,0,0,15,32,0,0,0,0,15,13,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
半兽勇士1,OmaWarrior,0,0,50,10,1800,600,7,0,1000,False,True,False,False,,100,100,0,0,0,80,0,0,0,0,20,17,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
半兽勇士2,OmaWarrior,0,0,50,10,2000,600,7,0,10,False,True,False,False,,20,20,25,25,0,20,0,0,0,0,17,20,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
森林雪人,ForestYeti,0,0,16,0,2500,1500,7,0,38,True,True,False,True,,2,2,0,0,7,10,0,0,0,0,7,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
森林雪人0,ForestYeti,0,0,16,0,2500,1500,7,0,38,True,True,False,True,,2,2,0,0,9,10,0,0,0,0,9,12,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
林中虎,FrostTiger,34,0,54,10,1700,900,7,0,3000,True,True,False,True,,18,18,20,20,20,55,0,0,0,0,15,16,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
栗子树,ChestnutTree,3,0,16,0,2500,1800,7,0,36,False,True,False,False,,0,0,100,100,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
栗子树1,ChestnutTree,3,0,16,0,2500,1800,7,0,36,False,True,False,False,,0,0,100,100,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
栗子树2,ChestnutTree,3,0,16,0,2500,1800,7,0,36,False,True,False,False,,0,0,100,100,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
乌木树,EbonyTree,3,0,16,0,2500,1800,7,0,38,False,True,False,False,,0,0,100,100,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
樱桃树,CherryTree,3,0,16,0,2500,1800,7,0,38,False,True,False,False,,0,0,100,100,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
巨型蘑菇,LargeMushroom,3,0,16,0,2500,1800,7,0,38,False,True,False,False,,0,0,100,100,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
红蛇,RedSnake,0,0,17,0,2500,1200,7,0,70,True,True,False,True,,0,0,2,2,7,12,0,0,0,0,11,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
红蛇0,RedSnake,0,0,17,0,2500,1200,7,0,70,True,True,False,True,,1,2,2,2,7,12,0,0,0,0,11,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
赤色毒蛇,RedSnake,0,0,17,0,2500,1200,7,0,90,True,True,False,True,,0,0,2,4,9,14,0,0,0,0,11,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
虎蛇,TigerSnake,0,0,18,0,2500,1200,7,0,98,True,True,False,True,,0,0,2,3,10,11,0,0,0,0,12,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
虎蛇0,TigerSnake,0,0,18,0,2500,1200,7,0,98,True,True,False,True,,1,2,2,3,10,11,0,0,0,0,12,15,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
斑纹虎蛇,TigerSnake,0,0,18,0,2500,1200,7,0,110,True,True,False,True,,0,0,2,5,9,14,0,0,0,0,12,15,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
多角虫,Keratoid,0,0,16,0,2500,1300,7,0,42,True,True,False,True,,0,0,0,0,1,2,0,0,0,0,10,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
多角虫0,Keratoid,0,0,16,0,2500,1300,7,0,42,True,True,False,True,,0,0,0,0,2,4,0,0,0,0,10,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
盔甲虫,ShellNipper,0,0,16,0,2500,1200,7,0,52,True,True,False,True,,0,0,0,0,4,10,0,0,0,0,7,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
盔甲虫0,ShellNipper,0,0,16,0,2500,1200,7,0,52,True,True,False,True,,0,0,0,0,4,10,0,0,0,0,9,12,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
猎鹰,SkyStinger,0,0,16,0,2500,1200,7,0,55,True,True,False,True,,0,0,0,0,7,10,0,0,0,0,15,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
猎鹰0,SkyStinger,0,0,16,0,2500,1200,7,0,55,True,True,False,True,,0,0,0,0,7,10,0,0,0,0,20,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
思威尔小虫,VisceralWorm,0,0,16,0,2300,1000,7,0,60,True,True,False,True,,2,2,1,1,6,9,0,0,0,0,12,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
沙虫,SandWorm,35,0,17,0,2300,1000,7,0,77,True,True,False,True,,0,0,0,0,1,2,0,0,0,0,13,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
巨型多角虫,GiantKeratoid,0,0,27,5,2500,1000,7,0,480,True,True,False,True,,0,0,0,0,7,15,0,0,0,0,5,8,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
巨型多角虫1,GiantKeratoid,0,0,50,5,1800,600,7,0,480,False,True,False,False,,0,0,100,100,0,80,0,0,0,0,17,20,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
